sitecode,samplecode,season,FieldCode,Community,CommCode,Location,Mainstem,Latitude,Longitude,Field1,ID,HgT_A_wet,HgT_B_wet,HgT_C_wet,HgT_D_wet,Percent_Solid_A,Percent_Solid_B,Percent_Solid_C,HgT_A,HgT_B,HgT_C,loc50,section,sectiondiff,sec1,sec2,sec3,hgt_avg,hgt1000_avg
01LAB-D1,1-01LAB-D1-1,1,,Laberinto,LAB,380,1,-12.71045,-69.57357,,6,,,,,0.733610904,0.763420895,0.72614938,,,,7.6,2,0,180,200,0,,
01LAB-D1,1-01LAB-D1-3,1,,Laberinto,LAB,380,1,-12.71045,-69.57357,,7,,,,,0.669678303,0.677184601,0.684759823,,,,7.6,2,0,180,200,0,,
01LAB-Q1,1-01LAB-Q1-1,1,,Laberinto,LAB,386,1,-12.70772,-69.5789,,8,0.0216,0.0234,0.0204,,,,,,,,7.72,2,0,180,206,0,,
01PAL-D1,1-01PAL-D1-1,1,,Palma Real,PAL,538,1,-12.49989,-68.76253,,25,0.0113,0.0096,0.0104,,0.710756844,0.811410159,0.58441994,0.015898545,0.011831254,0.017795423,10.76,3,0,180,280,138,0.015175074,15.17507425
01PAL-D1,1-01PAL-D1-3,1,,Palma Real,PAL,538,1,-12.49989,-68.76253,,26,0.027,0.0244,0.028,,0.601626016,0.660230957,,0.044878378,0.036956765,,10.76,3,0,180,280,138,0.040917571,40.91757144
01PAL-D1,2-01PAL-D1-1,2,,Palma Real,PAL,538,1,-12.49989,-68.76253,,52,0.0222,0.0196,0.0185,,0.717027056,0.744795093,0.548999948,0.030961175,0.026315963,0.033697635,10.76,3,0,180,280,138,0.030324924,30.32492428
01PAL-D1,2-01PAL-D1-3,2,,Palma Real,PAL,538,1,-12.49989,-68.76253,,50,0.0505,0.0413,0.0476,,0.588,0.589,0.617,0.0505,0.0413,0.048,10.76,3,0,180,280,138,0.0466,46.6
01PAL-Q1,2-01PAL-Q1-2,2,,Palma Real,PAL,534,1,-12.51213,-68.79179,,51,0.0319,0.0743,0.0638,0.0408,0.389765712,0.530824708,0.550732685,0.081844039,0.139970877,0.115845676,10.68,3,0,180,280,134,0.11255353,112.5535305
01RAM-D1,1-01RAM-D1-1,1,,Rio Amigo,RAM,299,1,-12.58018,-70.05784,,30,,0.014,0.009,,0.687364281,0.641592504,0.691749319,,0.021820704,0.013010493,5.98,2,0,180,119,0,0.017415599,17.41559863
01RAM-D1,2-01RAM-D1-1,2,,Rio Amigo,RAM,299,1,-12.58018,-70.05784,,32,0.0118,0.0161,0.0127,,0.690103416,0.643102891,0.623613371,0.017098887,0.025034874,0.020365182,5.98,2,0,180,119,0,0.020832981,20.83298103
01RAM-D1,2-01RAM-D1-3,2,,Rio Amigo,RAM,299,1,-12.58018,-70.05784,,31,0.0245,0.0093,0.0103,,0.691169821,0.679956697,0.692763234,0.03544715,0.013677342,0.014867995,5.98,2,0,180,119,0,0.021330829,21.33082856
01RAZ-D1,1-01RAZ-D1-1,1,,Rio Azul,RAZ,186,1,-12.49224,-70.57089,,82,0.0117,0.0115,0.0108,,0.585648446,0.762292572,0.496183993,0.019977855,0.015086071,0.021766119,3.72,2,0,180,6,0,0.018943349,18.94334865
01RAZ-D1,1-01RAZ-D1-3,1,,Rio Azul,RAZ,186,1,-12.49224,-70.57089,,83,0.0112,0.009,0.0104,,0.668776371,0.650795553,0.659684797,0.016747003,0.013829228,0.015765105,3.72,2,0,180,6,0,0.015447112,15.44711197
01SAL-D1,1-01SAL-D1-1,1,,Salvacion,SAL,8,1,-12.84284,-71.387,,62,,,,,0.718272111,0.696242836,0.635948763,,,,0.16,1,0,8,0,0,,
01SAL-D1,1-01SAL-D1-2,1,,Salvacion,SAL,8,1,-12.84284,-71.387,,63,,,,,0.701027538,0.703565217,0.710485905,,,,0.16,1,0,8,0,0,,
01SAL-D1,1-01SAL-D1-3,1,,Salvacion,SAL,8,1,-12.84284,-71.387,,64,0.0071,0.0071,0.0071,,0.689516129,0.673700818,0.676306495,0.010297076,0.010538803,0.010498199,0.16,1,0,8,0,0,0.010444692,10.44469249
01SAL-Q1,1-01SAL-Q1-2,1,,Salvacion,SAL,5,1,-12.849,-71.382,,60,0.007,0.0059,0.0068,,0.64196696,0.703246328,0.720603185,0.010903988,0.008389663,0.009436539,0.1,1,0,5,0,0,0.00957673,9.576730101
01SAL-Q1,2-01SAL-Q1-1,2,,Salvacion,SAL,5,1,-12.849,-71.382,,61,0.0075,0.0055,0.0049,,0.649158329,0.773378413,0.586535985,0.011553422,0.007111654,0.008354134,0.1,1,0,5,0,0,0.009006403,9.006403285
01SJG-D1,1-01SJG-D1-1,1,,San Juan Grande,SJG,267,1,-12.56971,-70.17828,,96,0.0091,0.0094,0.0092,,,,,,,,5.34,2,0,180,87,0,,
01SJG-D1,1-01SJG-D1-2,1,,San Juan Grande,SJG,267,1,-12.56971,-70.17828,,98,,,,,0.762671209,0.754993276,0.747117602,,,,5.34,2,0,180,87,0,,
01SJG-D1,1-01SJG-D1-3,1,,San Juan Grande,SJG,267,1,-12.56971,-70.17828,,99,,,,,0.645258168,0.597174192,0.599462366,,,,5.34,2,0,180,87,0,,
01SJG-D1,2-01SJG-D1-3,2,,San Juan Grande,SJG,267,1,-12.56971,-70.17828,,97,0.0185,0.0195,0.0203,,,0.635164243,0.5991329,,0.030700721,0.033882299,5.34,2,0,180,87,0,0.03229151,32.29150978
01SJG-Q1,1-01SJG-Q1-3,1,,San Juan Grande,SJG,265,1,-12.583,-70.201,,95,0.0123,0.01,0.0115,,,,,,,,5.3,2,0,180,85,0,,
01TRE-U1,1-01TRE-D1-3,1,,Tres Islas,TRE,416,1,-12.56307,-69.37666,,9,0.0143,0.0123,0.0157,,0.688,0.76,0.677,0.0207,0.01618,0.02309,8.32,3,-1,180,280,16,0.01999,19.99
01TRE-U1,2-01TRE-U1-1,2,,Tres Islas,TRE,416,1,-12.56307,-69.37666,,10,,0.0327,0.0186,,0.597,0.571,0.65,,0.0573,0.0286,8.32,3,-1,180,280,16,0.04295,42.95
