SiteCode,FieldCode,Community,CommCode,Location,Point_Y,Point_X,Field1,location2,SampleCode,Mainstem,TSS_1,TSS_2,TSS_3,TSS_avg,TSS_stdev,Hg_p_a,Hg_p_b,Hg_p_c,Hg_p_avg,Hg_p_stdev,Hg_ss_a,Hg_ss_b,Hg_ss_c,Hg_ss_avg,Hg_ss_stdev,season,loc50,section,sectiondiff,sec1,sec2,sec3
01ITA-U1,,Itahuania,ITA,46,-12.632446,-71.2279964,,46,1-01ITA-U1-24A,1,522.8,526.8,,524.8,2.828427125,3.32954395,4.691330348,,4.010437149,0.962928396,0.006344405,0.008939273,,0.007641839,0.001834848,1,0.92,1,0,46,0,0
01LAB-D1,,Laberinto,LAB,380,-12.71045,-69.57357,,380,1-01LAB-D1-24A,1,496.5,307.8,535.8,446.7,121.8955325,24.60947143,25.398075,,25.00377321,0.557626933,0.055095832,0.056861362,,0.055978597,0.001248419,1,7.6,2,0,180,200,0
01LAB-D1,,Laberinto,LAB,380,-12.71045,-69.57357,,380,2-01LAB-D1-24A,1,112.9,124.9,90.6,109.4,8.485281374,11.28908167,8.743658014,,10.01636984,1.799886329,0.094980254,0.07356443,,0.084272342,0.015143274,2,7.6,2,0,180,200,0
01LAB-Q1,,Laberinto,LAB,386,-12.70772,-69.5789,,386,1-01LAB-Q1-34A,1,627.6,583.2,,605.4,31.39554108,,90.37329375,,90.37329375,,0.149377345,0.149377345,,0.149377345,,1,7.72,2,0,180,206,0
01LAB-Q1,,Laberinto,LAB,386,-12.70772,-69.5789,,386,,,332.4,622,130.8,,,,,,,,,,,,,2,7.72,2,0,180,206,0
01LAB-Q3,2-01LAB-Q2,Laberinto,LAB,386,-12.70772,-69.5789,,388,2-01LAB-Q2-14A,3,57.8,64.9,69.3,64,5.047956743,6.226122107,2.114891246,,4.170506677,2.90707922,0.101535853,0.034489733,,0.068012793,0.047408766,2,7.72,2,0,180,206,0
01PAL-D1,,Palma Real,PAL,538,-12.49989,-68.76253,,538,1-01PAL-D1-24A,1,323.8,303.1,,313.4464286,14.57145046,,,,,,,,,,,1,10.76,3,0,180,280,138
01PAL-D1,,Palma Real,PAL,538,-12.49989,-68.76253,,538,2-01PAL-D1-24A,1,178,192.4,149.2,173.2,21.99636334,11.34966653,12.69505375,14.79949432,12.94807153,1.738775847,0.065529252,0.073297077,,0.069413165,0.005492681,2,10.76,3,0,180,280,138
01PAL-Q1,,Palma Real,PAL,534,-12.51213,-68.79179,,534,2-01PAL-Q1-24A,1,124,137.2,135.2,132.1,7.1,8.473117617,8.519417055,,8.496267336,0.032738646,0.064878389,0.065232902,,0.065055646,0.000250679,2,10.68,3,0,180,280,134
01PAR-D1,,Puerto Pardo,PAR,560,-12.49964,-68.66259,,560,1-01PAR-D1-24A,1,591.7,496,,543.8571429,67.68022048,24.28210858,21.04843135,,22.66526996,2.286555095,0.044647954,0.038702133,,0.041675043,0.00420433,1,11.2,3,0,180,280,160
